"","darkness","anger","emotional_bonds","age_started","midichlorian","dojo_id","murders"
"1",4.5,14.3,12.7,5,1242,"dojo_1",1
"2",4.6,11.9,15.6,5,1264,"dojo_1",2
"3",2.4,13.9,9.8,5,1168,"dojo_1",0
"4",5.3,12.8,21.2,5,1389,"dojo_1",1
"5",7.9,14.9,16.7,5,1058,"dojo_1",1
"6",4,12.3,11.8,5,1368,"dojo_1",1
"7",5.3,17.8,12.7,5,1427,"dojo_1",1
"8",3.2,16.2,8.5,5,1051,"dojo_1",2
"9",2,5.4,14.9,5,1208,"dojo_1",0
"10",5.3,14.9,17.8,5,1277,"dojo_1",1
"11",3.1,12.9,12,5,1184,"dojo_1",1
"12",1.1,9.8,6.6,5,1298,"dojo_1",0
"13",7.6,18,13.8,5,1380,"dojo_1",2
"14",0.4,10.3,6.9,5,1091,"dojo_1",0
"15",3.9,16.6,8.6,5,1224,"dojo_1",1
"16",4.7,10.9,15,5,1172,"dojo_1",1
"17",2.2,11.7,8.6,5,1225,"dojo_1",0
"18",2.6,8.3,16.5,5,1376,"dojo_1",0
"19",1.2,9.1,8.3,5,1152,"dojo_1",1
"20",3.4,14.1,11.9,5,1236,"dojo_1",1
"21",7.2,16.9,16.3,5,1358,"dojo_1",1
"22",2.6,11.5,11.2,5,1316,"dojo_1",0
"23",2.8,15.4,10.3,5,1447,"dojo_1",2
"24",7.6,15.6,16.2,5,1145,"dojo_1",1
"25",1.9,11.8,14.4,5,1068,"dojo_1",0
"26",1.6,13.1,6.8,5,1178,"dojo_1",0
"27",4.4,10.6,11.2,5,715,"dojo_1",1
"28",2.1,13.6,9,5,1128,"dojo_1",0
"29",3.5,13.1,11.1,5,1108,"dojo_1",0
"30",4.1,13.6,13.2,5,888,"dojo_1",0
"31",5.6,9.7,10.3,5,1585,"dojo_2",1
"32",5.8,16.4,18.2,5,912,"dojo_2",4
"33",3.9,10,8.6,5,1170,"dojo_2",0
"34",5.2,10.5,13.9,5,1486,"dojo_2",1
"35",1.2,9.1,11.3,5,982,"dojo_2",0
"36",5.7,12,18.6,5,1276,"dojo_2",1
"37",6.1,11.8,11.1,5,1215,"dojo_2",1
"38",4.2,10.6,11.7,5,1066,"dojo_2",0
"39",3,17.7,8.9,5,733,"dojo_2",0
"40",2.1,8,13.5,5,1252,"dojo_2",0
"41",4.9,7.9,11.5,5,1071,"dojo_2",0
"42",3.2,12.3,11.6,5,1037,"dojo_2",1
"43",2.1,8.8,11.7,5,1116,"dojo_2",0
"44",5.2,9.8,11,5,1183,"dojo_2",2
"45",5.9,9.8,8.9,5,1462,"dojo_2",2
"46",8,14.8,14.1,3,1077,"dojo_3",2
"47",6,13.7,14.1,3,1185,"dojo_3",1
"48",4.3,13.2,16.7,3,1579,"dojo_3",1
"49",9.1,14.9,15.4,3,1004,"dojo_3",2
"50",6.3,11.1,12.6,3,1253,"dojo_3",2
"51",5.9,11.2,10.4,3,993,"dojo_3",1
"52",5.1,11.7,13.9,3,982,"dojo_3",1
"53",7.4,14.1,11.7,3,819,"dojo_3",3
"54",6.3,10.5,11.5,3,1046,"dojo_3",1
"55",4.1,11.7,9.8,3,1168,"dojo_3",0
"56",7.8,15.5,17.1,3,1180,"dojo_3",1
"57",3.9,11.3,15,3,1183,"dojo_3",0
"58",5.9,6.8,14,3,876,"dojo_3",0
"59",3.4,15.6,10.9,3,1546,"dojo_3",1
"60",3.1,15.4,8.5,3,1258,"dojo_3",1
"61",4.2,13.9,11.1,3,1461,"dojo_3",1
"62",0.4,5.9,1.3,3,1274,"dojo_3",0
"63",2.8,7.1,8.9,3,1431,"dojo_3",0
"64",6,15.4,11.7,3,899,"dojo_3",1
"65",4.4,8.1,8.2,3,1046,"dojo_3",0
"66",4.4,9.5,10.9,3,1008,"dojo_3",0
"67",7.9,11.6,15.8,3,1161,"dojo_3",2
"68",6.5,11,11.7,3,934,"dojo_3",1
"69",4.5,9.4,11.2,3,1162,"dojo_3",0
"70",4,10.7,11.7,3,1327,"dojo_3",1
"71",4.5,11.2,12.7,3,954,"dojo_3",0
"72",2.5,6.4,10,3,1402,"dojo_3",0
"73",3.4,6.7,9.3,3,1068,"dojo_3",0
"74",4.7,9.8,14.1,3,1403,"dojo_3",1
"75",3.9,13.9,13.4,3,1167,"dojo_3",0
"76",4.8,6.8,12.9,4,1219,"dojo_4",0
"77",6.9,13,11.3,4,1490,"dojo_4",1
"78",8.5,14.3,12.9,4,992,"dojo_4",3
"79",0.2,6.5,4.7,4,1135,"dojo_4",0
"80",2.7,8.7,13.7,4,928,"dojo_4",0
"81",6.1,12.6,7.9,4,1033,"dojo_4",1
"82",8.5,17.6,8,4,1009,"dojo_4",2
"83",4.6,13.7,7.8,4,1507,"dojo_4",1
"84",6.4,12,12.7,4,996,"dojo_4",1
"85",5.6,12.5,10.6,4,1063,"dojo_4",1
"86",5.8,12.4,11.5,4,1308,"dojo_4",1
"87",5.6,9.5,7.9,4,1303,"dojo_4",1
"88",5.4,11.4,11.6,4,1111,"dojo_4",1
"89",7,13.6,12.6,4,655,"dojo_4",1
"90",7.9,16.5,13.4,4,1182,"dojo_4",2
"91",6.4,12.8,13.9,4,1178,"dojo_4",1
